candidate,weight,seed,season,group,n,champion_brier,candidate_brier,gain,target_mean,prediction_mean,prediction_std,logloss,auc,outside_max_abs_diff
lgb_cat_mean,0.25,43,2022,all,247472,0.24313201729617934,0.2431181779218817,1.3839374297636153e-05,0.5289204435249241,0.5253010108847461,0.0772995301189588,0.6790313750499195,0.5809517100271322,0.0
lgb_cat_mean,0.25,43,2022,slice,59575,0.2446615883773926,0.24460410020892967,5.7488168462932476e-05,0.5264288711707931,0.5234453752787288,0.07039079082434323,0.6821048364476039,0.5689288933445341,0.0
lgb_cat_mean,0.25,43,2022,outside,187897,0.24264704841874501,0.24264704841874501,0.0,0.5297104264570482,0.5258893624349491,0.07935549695058111,0.678056897209576,0.5846405263550047,0.0
lgb_cat_mean,0.25,43,2022,R,217024,0.24828303927859774,0.24826732370622887,1.5715572368873998e-05,0.5036908360365674,0.5005488074769097,0.04088669393796926,0.6896696138840014,0.5469718810476887,0.0
lgb_cat_mean,0.25,43,2022,F,30448,0.20641711337104868,0.206416646960828,4.664102206675125e-07,0.7087493431424067,0.7017271207238909,0.03400156231536544,0.6032052733444604,0.5246448634132659,0.0
lgb_cat_mean,0.25,43,2022,0-2,15595,0.24553331305874085,0.24546710049135728,6.621256738356673e-05,0.5218339211285669,0.5237023948957163,0.0685329743683753,0.6838771937470988,0.560974729763003,0.0
lgb_cat_mean,0.25,43,2022,1-2,23740,0.24545244465670835,0.24539459575660183,5.784890010651633e-05,0.5291491154170177,0.523684065863624,0.0692746112611098,0.6837558473726447,0.5624718394437591,0.0
lgb_cat_mean,0.25,43,2022,2-2,20240,0.24306230604159304,0.24301196316810972,5.0342873483322226e-05,0.5267786561264822,0.5229673745172498,0.07304950068490429,0.6788027163168682,0.5821840406477689,0.0
lgb_cat_mean,0.5,43,2022,all,247472,0.24313201729617934,0.243119137886354,1.2879409825333754e-05,0.5289204435249241,0.525528298672708,0.07678872650394399,0.6790337796537895,0.5809092218519609,0.0
lgb_cat_mean,0.5,43,2022,slice,59575,0.2446615883773926,0.24460808786025837,5.35005171342362e-05,0.5264288711707931,0.5243895190212802,0.0680495220049724,0.6821148250691549,0.5688214190350644,0.0
lgb_cat_mean,0.5,43,2022,outside,187897,0.24264704841874501,0.24264704841874501,0.0,0.5297104264570482,0.5258893624349491,0.07935549695058111,0.678056897209576,0.5846405263550047,0.0
lgb_cat_mean,0.5,43,2022,R,217024,0.24828303927859774,0.24826370490922198,1.933436937576194e-05,0.5036908360365674,0.5010103645384066,0.040887173436752786,0.6896621250865891,0.5469159001489582,0.0
