model,season,subset,n,history_median,champion_brier,candidate_brier,champion_bss,candidate_bss,delta_bss,two_sigma_bss,prediction_correlation,residual_correlation
distillation,2023,high_history_pitcher,35311,2187.0,0.24830263473325442,0.2483012121073918,289.4296300805621,290.0009121224789,0.5712820419230898,3.5443051191972987,0.9998916798219883,0.9999989194965648
distillation,2023,low_history_pitcher,25165,2187.0,0.25384057462438037,0.25384747015821346,-1633.6207642259292,-1636.381623365968,-2.760859140013501,6.271748949084385,0.9999472425821107,0.9999981005960474
distillation,2023,cold_start,63,2187.0,0.27337499680414673,0.27375920812994053,-11628.123695026594,-11785.009986392402,-156.8862913657783,79.94465759143412,0.9999646417812864,0.9999992950034977
distillation,2023,non_cold_start,245462,2187.0,0.2523416673865493,0.2523678199227884,-936.6671958561445,-947.1282103767909,-10.461014520654656,1.637410956163022,0.9999261159221114,0.9999985706592319
distillation,2023,matchup_1/1,31695,2187.0,0.2515234351064511,0.25154046264625823,-1123.9787577639104,-1130.8246112050613,-6.845853441163467,4.997624541148412,0.9999091006750153,0.99999805998084
distillation,2023,matchup_1/2,37418,2187.0,0.2520003374962789,0.25202231747631376,-824.5272013103433,-833.3213208616241,-8.794119551290104,3.938471262449397,0.9999416681549222,0.9999986997471507
distillation,2023,matchup_2/1,86767,2187.0,0.2520091422979292,0.25203649650819154,-900.4221088595888,-911.3742962951754,-10.952187435579436,2.4872837274843964,0.9999233193815247,0.9999988034036134
distillation,2023,matchup_2/2,89645,2187.0,0.25311006560250626,0.2531402745559882,-1257.3677587997433,-1269.452932516746,-12.085173717008303,2.9207725076524276,0.9999238479689693,0.999998508943344
distillation,2023,count_0-0,63138,2187.0,0.25246415785130116,0.2524951038278527,-988.9463394765929,-1001.3251325376782,-12.378793061088636,3.1129631208564628,0.9999269103214548,0.9999986051744573
distillation,2023,count_0-1,30327,2187.0,0.2522118128488636,0.2522297519373477,-943.373201428277,-950.5530082869917,-7.17980685871799,4.626529066676691,0.9999259079831199,0.9999986147581206
distillation,2023,count_0-2,14526,2187.0,0.2535732385869789,0.2535913996636101,-1430.595255889222,-1437.8597796357305,-7.264523746540955,5.9071136504418655,0.9999227812620036,0.9999987219951063
distillation,2023,count_1-0,25591,2187.0,0.252463053295955,0.25249528327444165,-989.943902635404,-1002.8364969253855,-12.892594289968482,5.154066425872402,0.9999250904813517,0.9999985460393552
distillation,2023,count_1-1,25293,2187.0,0.25278816748833344,0.2528043347962101,-1125.7076355977392,-1132.1752264894958,-6.467590891785921,5.220505990917256,0.9999248846621034,0.9999985816155659
distillation,2023,count_1-2,23456,2187.0,0.2528851362916125,0.2528892222786864,-1161.5570915212813,-1163.1916075735437,-1.634516052242443,4.830260299123686,0.9999304838776516,0.9999988099795895
distillation,2023,count_2-0,8774,2187.0,0.251983567484034,0.2520446767299654,-818.367345279003,-842.8170920066202,-24.449746727615935,9.443052547585253,0.9999266124695605,0.9999983728989833
distillation,2023,count_2-1,13479,2187.0,0.25071076018689853,0.2507452494563,-288.1067590528197,-301.90298993335585,-13.796230880552127,7.15234206547187,0.9999268263396638,0.9999984890717389
distillation,2023,count_2-2,20380,2187.0,0.25204906543957495,0.25207602487701064,-822.5633841249413,-833.347473266155,-10.784089141188732,5.5897391612781435,0.9999245825673632,0.9999986544249548
distillation,2023,count_3-0,2858,2187.0,0.2561781196405343,0.2562043105485798,-2532.7562325807353,-2543.2388842369755,-10.482651656244148,18.56335188216981,0.9999326770587625,0.999998274580572
distillation,2023,count_3-1,5807,2187.0,0.25252288510815807,0.2525435998682239,-1166.4812954541137,-1174.7801052267137,-8.298809772598446,12.820254699825083,0.9999275991804039,0.9999982045478922
distillation,2023,count_3-2,11896,2187.0,0.24995124658076637,0.2500022516751226,-455.4819293948409,-475.98089231060123,-20.498962915749622,8.762191368581819,0.9999198653912065,0.9999982990412074
distillation,2024,linked_pitcher,69206,2598.0,0.24721248057205064,0.24721153077409233,1086.7369283740325,1087.1169561748052,0.38002780077457426,3.1276096702785403,0.9998680882648003,0.9999980564063609
distillation,2024,unlinked_pitcher,184301,2598.0,0.2478207771096416,0.2478248635519863,770.8568733154508,769.2206337029717,-1.6362396124690184,1.844133886091089,0.9998032833191962,0.9999982003294158
distillation,2024,high_history_pitcher,40659,2598.0,0.24700618529712365,0.2470084867176197,1188.8494220965385,1187.9287730573008,-0.920649039244809,4.216485134177228,0.9998795114188699,0.9999978480802709
distillation,2024,low_history_pitcher,28547,2598.0,0.24750630337596197,0.24750072292360437,704.3671931661888,706.605982807662,2.238789641482291,4.6393769759925,0.999811529109453,0.9999983652653676
distillation,2024,cold_start,81,2598.0,0.24383886225108126,0.244062162849281,-999.1651028626425,-1091.6572256397083,-92.49212277705996,112.04567139722988,0.9998881626133893,0.9999991053094901
distillation,2024,non_cold_start,253426,2598.0,0.24765593516336545,0.24765857623549153,861.3387896321267,860.2815472342539,-1.057242397851419,1.5895542294517742,0.9998254114796905,0.9999981609965454
distillation,2024,matchup_1/1,30493,2598.0,0.24583036273588307,0.24582912885068328,822.6362957786781,823.1340922260632,0.4977964474037687,4.928677824846342,0.9998325124420702,0.9999979011054327
distillation,2024,matchup_1/2,41337,2598.0,0.24775279912512468,0.24775586079743545,879.70159630959,878.4766903786378,-1.2249059309376755,3.493408417086991,0.9998226762469284,0.9999984962935407
distillation,2024,matchup_2/1,89268,2598.0,0.2482458866205681,0.24825519791974848,700.2883379931268,696.5637674215985,-3.7245705715338935,2.5886242090557467,0.9997869943870025,0.9999982304364315
distillation,2024,matchup_2/2,92409,2598.0,0.24764176062253632,0.2476392421140678,710.4538890224221,711.4636604038216,1.0097713814570541,2.7793160361013975,0.999814307078178,0.999998060401151
distillation,2024,count_0-0,65317,2598.0,0.24769970837945193,0.24770177455085945,845.5660981566471,844.7390077349626,-0.8270904217184442,3.020572550773797,0.9998248091311334,0.9999982329914456
distillation,2024,count_0-1,31402,2598.0,0.247739758453802,0.24774332405277405,903.6588637241994,902.232617834986,-1.4262458892166539,4.551702449902041,0.999826946190891,0.9999981819976462
distillation,2024,count_0-2,16155,2598.0,0.249464621711545,0.2494422684640634,190.4399310019178,199.38335465030656,8.943423648394312,6.01729372092099,0.9998211895724457,0.9999983077271163
distillation,2024,count_1-0,26438,2598.0,0.24733665447887554,0.2473427453661104,905.4407180599688,903.0004255467294,-2.440292513226852,4.760075677761013,0.9998187339590198,0.9999981902366154
distillation,2024,count_1-1,25313,2598.0,0.2473550137439348,0.2473651808364534,982.9206971136206,978.8507743295316,-4.069922784102772,4.979700886415512,0.9998310167203293,0.9999981863363542
distillation,2024,count_1-2,24399,2598.0,0.24851924638837675,0.248510230343409,590.3896031997924,593.9960905467001,3.606487346911747,4.879840788771995,0.9998160309942272,0.9999984059065335
distillation,2024,count_2-0,9392,2598.0,0.24720070268451091,0.24721691800370402,836.4209581537164,829.9162473295429,-6.504710824164521,8.901246223601358,0.999816871870886,0.9999978593514718
distillation,2024,count_2-1,13446,2598.0,0.24698569766605577,0.24699137890862738,940.303614629312,938.025012388155,-2.2786022411597084,7.086599119185222,0.9998210093831057,0.9999980036288464
distillation,2024,count_2-2,20640,2598.0,0.24810464942833713,0.2481060946715783,723.4184441196834,722.8401445641186,-0.578299555599379,5.543358267722944,0.9998258317880709,0.9999982577942302
distillation,2024,count_3-0,3214,2598.0,0.245470293206214,0.24548847857694384,1683.8121705807785,1676.5285343367852,-7.283636243995295,16.885032601318244,0.9998157072638687,0.9999976958272274
distillation,2024,count_3-1,6020,2598.0,0.24491832111600997,0.24493610235046265,1373.9087876434296,1366.748467243517,-7.160320399913262,12.141707735163086,0.9998046233300613,0.9999976380991684
distillation,2024,count_3-2,11771,2598.0,0.24659449195981312,0.2466097144933277,626.2267083865902,620.0922623883054,-6.134445998275786,8.666456106617161,0.9997987735506441,0.9999978226566446
